0	1	2	3	4	5
name	terminology	code	description	code_type	RecordDate
covid	SNOMED	1008541000000105	Coronavirus ribonucleic acid detection assay (observable entity)	1	20211022
covid	SNOMED	1029481000000103	Coronavirus nucleic acid detection assay (observable entity)	1	20211022
covid	SNOMED	120814005	Coronavirus antibody (substance)	1	20211022
covid	SNOMED	1240381000000105	Severe acute respiratory syndrome coronavirus 2 (organism)	1	20211022
covid	SNOMED	1240391000000107	Antigen of severe acute respiratory syndrome coronavirus 2 (substance)	1	20211022
covid	SNOMED	1240401000000105	Antibody to severe acute respiratory syndrome coronavirus 2 (substance)	1	20211022
covid	SNOMED	1240411000000107	Ribonucleic acid of severe acute respiratory syndrome coronavirus 2 (substance)	1	20211022
covid	SNOMED	1240421000000101	Serotype severe acute respiratory syndrome coronavirus 2 (qualifier value)	1	20211022
covid	SNOMED	1240511000000106	Detection of severe acute respiratory syndrome coronavirus 2 using polymerase chain reaction technique (procedure)	1	20211022
covid	SNOMED	1240521000000100	Otitis media caused by severe acute respiratory syndrome coronavirus 2 (disorder)	1	20211022
covid	SNOMED	1240531000000103	Myocarditis caused by severe acute respiratory syndrome coronavirus 2 (disorder)	1	20211022
covid	SNOMED	1240541000000107	Infection of upper respiratory tract caused by severe acute respiratory syndrome coronavirus 2 (disorder)	1	20211022
covid	SNOMED	1240551000000105	Pneumonia caused by severe acute respiratory syndrome coronavirus 2 (disorder)	1	20211022
covid	SNOMED	1240561000000108	Encephalopathy caused by severe acute respiratory syndrome coronavirus 2 (disorder)	1	20211022
covid	SNOMED	1240571000000101	Gastroenteritis caused by severe acute respiratory syndrome coronavirus 2 (disorder)	1	20211022
covid	SNOMED	1240581000000104	Severe acute respiratory syndrome coronavirus 2 ribonucleic acid detected (finding)	1	20211022
covid	SNOMED	1240741000000103	Severe acute respiratory syndrome coronavirus 2 serology (observable entity)	1	20211022
covid	SNOMED	1240751000000100	Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 (disorder)	1	20211022
covid	SNOMED	1300631000000101	Coronavirus disease 19 severity score (observable entity)	1	20211022
covid	SNOMED	1300671000000104	Coronavirus disease 19 severity scale (assessment scale)	1	20211022
covid	SNOMED	1300681000000102	Assessment using coronavirus disease 19 severity scale (procedure)	1	20211022
covid	SNOMED	1300721000000109	Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 confirmed by laboratory test (situation)	1	20211022
covid	SNOMED	1300731000000106	Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 confirmed using clinical diagnostic criteria (situation)	1	20211022
covid	SNOMED	1321181000000108	Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 record extraction simple reference set (foundation metadata concept)	1	20211022
covid	SNOMED	1321191000000105	Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 procedures simple reference set (foundation metadata concept)	1	20211022
covid	SNOMED	1321201000000107	Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 health issues simple reference set (foundation metadata concept)	1	20211022
covid	SNOMED	1321241000000105	Cardiomyopathy caused by severe acute respiratory syndrome coronavirus 2 (disorder)	1	20211022
covid	SNOMED	1321301000000101	Severe acute respiratory syndrome coronavirus 2 ribonucleic acid qualitative existence in specimen (observable entity)	1	20211022
covid	SNOMED	1321311000000104	Severe acute respiratory syndrome coronavirus 2 immunoglobulin M qualitative existence in specimen (observable entity)	1	20211022
covid	SNOMED	1321321000000105	Severe acute respiratory syndrome coronavirus 2 immunoglobulin G qualitative existence in specimen (observable entity)	1	20211022
covid	SNOMED	1321331000000107	Arbitrary concentration of severe acute respiratory syndrome coronavirus 2 total immunoglobulin in serum (observable entity)	1	20211022
covid	SNOMED	1321341000000103	Arbitrary concentration of severe acute respiratory syndrome coronavirus 2 immunoglobulin G in serum (observable entity)	1	20211022
covid	SNOMED	1321351000000100	Arbitrary concentration of severe acute respiratory syndrome coronavirus 2 immunoglobulin M in serum (observable entity)	1	20211022
covid	SNOMED	1321541000000108	Severe acute respiratory syndrome coronavirus 2 immunoglobulin G detected (finding)	1	20211022
covid	SNOMED	1321551000000106	Severe acute respiratory syndrome coronavirus 2 immunoglobulin M detected (finding)	1	20211022
covid	SNOMED	1321761000000103	Severe acute respiratory syndrome coronavirus 2 immunoglobulin A detected (finding)	1	20211022
covid	SNOMED	1321801000000108	Arbitrary concentration of severe acute respiratory syndrome coronavirus 2 immunoglobulin A in serum (observable entity)	1	20211022
covid	SNOMED	1321811000000105	Severe acute respiratory syndrome coronavirus 2 immunoglobulin A qualitative existence in specimen (observable entity)	1	20211022
covid	SNOMED	1322781000000102	Severe acute respiratory syndrome coronavirus 2 antigen detection result positive (finding)	1	20211022
covid	SNOMED	1322871000000109	Severe acute respiratory syndrome coronavirus 2 antibody detection result positive (finding)	1	20211022
covid	SNOMED	186747009	Coronavirus infection (disorder)	1	20211022
