name,terminology,code,term,code_type,RecordDate
diabetes,ICD10,E10,Insulin-dependent diabetes mellitus,1,20210127
diabetes,ICD10,E11,Non-insulin-dependent diabetes mellitus,1,20210127
diabetes,ICD10,E12,Malnutrition-related diabetes mellitus,1,20210127
diabetes,ICD10,O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,1,20210127
diabetes,ICD10,E13,Other specified diabetes mellitus,1,20210127
diabetes,ICD10,E14,Unspecified diabetes mellitus,1,20210127
diabetes,ICD10,G590,Diabetic mononeuropathy,1,20210127
diabetes,ICD10,G632,Diabetic polyneuropathy,1,20210127
diabetes,ICD10,H280,Diabetic cataract,1,20210127
diabetes,ICD10,H360,Diabetic retinopathy,1,20210127
diabetes,ICD10,M142,Diabetic athropathy,1,20210127
diabetes,ICD10,N083,Glomerular disorders in diabetes mellitus,1,20210127
diabetes,ICD10,O240,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent",1,20210127
diabetes,ICD10,O241,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent",1,20210127
diabetes,ICD10,O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified",1,20210127
